C0REC 0 10 28 | 1 | h 7 : 16 19 5 8 26 12 30 | v 9 : 1 2 4 6 7 9 11 13 15 | w 126
C0REC 0 10 28 | 2 | h 7 : 16 19 21 8 26 12 14 | v 9 : 1 2 4 6 7 9 11 13 15 | w 126
C0REC 0 10 28 | 3 | h 7 : 16 3 5 8 26 12 14 | v 9 : 1 2 4 6 7 9 11 13 15 | w 126
C0REC 0 10 30 | 0 | h 7 : 16 4 21 8 26 14 31 | v 9 : 1 2 3 6 7 9 11 12 13 | w 126
C0REC 0 10 30 | 1 | h 7 : 16 20 5 8 26 14 31 | v 9 : 1 2 3 6 7 9 11 12 13 | w 126
C0REC 0 10 30 | 2 | h 7 : 16 20 21 8 26 14 15 | v 9 : 1 2 3 6 7 9 11 12 13 | w 126
C0REC 0 10 30 | 3 | h 7 : 16 4 5 8 26 14 15 | v 9 : 1 2 3 6 7 9 11 12 13 | w 126
C0REC 0 12 14 | 0 | h 7 : 16 22 23 8 28 29 30 | v 9 : 1 2 3 4 5 9 10 11 15 | w 126
C0REC 0 12 14 | 1 | h 7 : 16 6 23 8 28 13 30 | v 9 : 1 2 3 4 5 9 10 11 15 | w 126
C0REC 0 12 14 | 2 | h 7 : 16 22 7 8 28 13 30 | v 9 : 1 2 3 4 5 9 10 11 15 | w 126
C0REC 0 12 14 | 3 | h 7 : 16 6 7 8 28 29 30 | v 9 : 1 2 3 4 5 9 10 11 15 | w 126
C0REC 0 12 16 | 0 | h 3 : 22 28 30 | v 12 : 1 2 3 4 5 7 8 9 10 11 13 15 | w 924
C0REC 0 12 16 | 1 | h 3 : 6 28 14 | v 12 : 1 2 3 4 5 7 8 9 10 11 13 15 | w 924
C0REC 0 12 18 | 0 | h 7 : 16 2 22 8 25 28 31 | v 9 : 1 3 4 5 7 10 11 13 14 | w 126
C0REC 0 12 18 | 1 | h 7 : 16 2 6 8 25 28 15 | v 9 : 1 3 4 5 7 10 11 13 14 | w 126
C0REC 0 12 18 | 2 | h 7 : 16 2 22 8 9 28 15 | v 9 : 1 3 4 5 7 10 11 13 14 | w 126
C0REC 0 12 18 | 3 | h 7 : 16 2 6 8 9 28 31 | v 9 : 1 3 4 5 7 10 11 13 14 | w 126
C0REC 0 12 20 | 0 | h 5 : 4 22 8 26 28 | v 10 : 1 2 3 5 7 9 11 13 14 15 | w 252
C0REC 0 12 20 | 3 | h 5 : 4 6 8 10 28 | v 10 : 1 2 3 5 7 9 11 13 14 15 | w 252
C0REC 0 12 22 | 0 | h 5 : 16 1 8 27 28 | v 10 : 2 3 4 5 7 9 10 13 14 15 | w 252
C0REC 0 12 22 | 2 | h 5 : 16 17 8 11 28 | v 10 : 2 3 4 5 7 9 10 13 14 15 | w 252
C0REC 0 12 26 | 0 | h 7 : 16 3 22 8 10 28 29 | v 9 : 1 2 4 5 7 9 11 14 15 | w 126
C0REC 0 12 26 | 1 | h 7 : 16 19 6 8 10 28 29 | v 9 : 1 2 4 5 7 9 11 14 15 | w 126
C0REC 0 12 26 | 2 | h 7 : 16 19 22 8 10 28 13 | v 9 : 1 2 4 5 7 9 11 14 15 | w 126
C0REC 0 12 26 | 3 | h 7 : 16 3 6 8 10 28 13 | v 9 : 1 2 4 5 7 9 11 14 15 | w 126
C0REC 0 12 28 | 0 | h 5 : 16 4 22 8 30 | v 10 : 1 2 3 5 7 9 10 11 13 15 | w 252
C0REC 0 12 28 | 1 | h 5 : 16 20 6 8 30 | v 10 : 1 2 3 5 7 9 10 11 13 15 | w 252
C0REC 0 12 28 | 2 | h 5 : 16 20 22 8 14 | v 10 : 1 2 3 5 7 9 10 11 13 15 | w 252
C0REC 0 12 28 | 3 | h 5 : 16 4 6 8 14 | v 10 : 1 2 3 5 7 9 10 11 13 15 | w 252
C0REC 0 12 30 | 0 | h 7 : 16 5 22 8 28 14 31 | v 9 : 1 2 3 4 7 9 10 11 13 | w 126
C0REC 0 12 30 | 1 | h 7 : 16 21 6 8 28 14 31 | v 9 : 1 2 3 4 7 9 10 11 13 | w 126
C0REC 0 12 30 | 2 | h 7 : 16 21 22 8 28 14 15 | v 9 : 1 2 3 4 7 9 10 11 13 | w 126
C0REC 0 12 30 | 3 | h 7 : 16 5 6 8 28 14 15 | v 9 : 1 2 3 4 7 9 10 11 13 | w 126
C0REC 0 14 16 | 0 | h 3 : 23 30 31 | v 12 : 1 2 3 4 5 6 8 9 10 11 12 13 | w 924
C0REC 0 14 16 | 1 | h 3 : 7 30 15 | v 12 : 1 2 3 4 5 6 8 9 10 11 12 13 | w 924
C0REC 0 14 18 | 0 | h 5 : 2 23 8 25 30 | v 10 : 1 3 4 5 6 10 11 12 13 15 | w 252
C0REC 0 14 18 | 3 | h 5 : 2 7 8 9 30 | v 10 : 1 3 4 5 6 10 11 12 13 15 | w 252
C0REC 0 14 20 | 0 | h 7 : 16 1 4 23 8 26 30 | v 9 : 2 3 5 6 9 11 12 13 15 | w 126
